WARNING 2025-04-30 14:16:05,422 basehttp "GET /static/assets/css/demos/demo-24.css.map HTTP/1.1" 404 6458
WARNING 2025-04-30 14:16:05,423 basehttp "GET /media/product_images/pro_1_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-30 14:16:05,423 basehttp "GET /static/assets/js/jquery.min.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,426 basehttp "GET /static/assets/js/jquery.hoverIntent.min.js HTTP/1.1" 304 0
WARNING 2025-04-30 14:16:05,425 basehttp "GET /static/assets/css/plugins/owl-carousel/owl.carousel.css.map HTTP/1.1" 404 6518
INFO 2025-04-30 14:16:05,429 basehttp "GET /static/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,430 basehttp "GET /static/assets/js/superfish.min.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,464 basehttp "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,469 basehttp "GET /static/assets/js/bootstrap-input-spinner.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,486 basehttp "GET /static/assets/js/jquery.plugin.min.js HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,487 basehttp "GET /static/assets/js/jquery.countdown.min.js HTTP/1.1" 304 0
